title,summary,updated,slug,parsedContentBody,summary,title,published,metadata,categories,href,author
ArcGIS Explorer,"<h2>ArcGIS Explorer</h2>

<p>Formally known as MapExplorer, this is a lightweight GIS data viewer that can perform a variety of basic GIS functions, including display, query, and data retrieval applications. You can <a href=""http://www.esri.com/software/arcgis/explorer/download"">download the free ArcGIS Explorer</a> from ESRI. There are two versions available. However, the edition for education has the most features.</p>

",1638377883696,arcgis-explorer,"<h2>ArcGIS Explorer</h2>

<p>Formally known as MapExplorer, this is a lightweight GIS data viewer that can perform a variety of basic GIS functions, including display, query, and data retrieval applications. You can <a href=""http://www.esri.com/software/arcgis/explorer/download"">download the free ArcGIS Explorer</a> from ESRI. There are two versions available. However, the edition for education has the most features.</p>

","Formally known as MapExplorer, this is a lightweight GIS data viewer that can perform a variety of basic GIS functions, including display, query, and data retrieval applications. You can <a href=""http://www.esri.com/software/arcgis/explorer/download"">download the free ArcGIS Explorer</a> from ESRI. There are two versions available. However, the edition for education has the most features.",ArcGIS Explorer,1638377883696,,"Free of Charge,Geographic Information System,Staff,Students,Windows",,Patrick Ryan
assistive library,"<h2>Assistive software at the library</h2>

<p>The library offers access to a number of applications to help you with your study and research.</p>

<p><a href=""https://warwick.ac.uk/services/library/using/accessibility/assistive-software"">See all the assistive software available from the library.</a></p>

",1638378014759,assistive-library,"<h2>Assistive software at the library</h2>

<p>The library offers access to a number of applications to help you with your study and research.</p>

<p><a href=""https://warwick.ac.uk/services/library/using/accessibility/assistive-software"">See all the assistive software available from the library.</a></p>

",The library offers access to a number of applications to help you with your study and research.,Assistive software at the library,1638378014759,,"Assistive,Free of Charge,MacOS,Staff,Students,Windows",,Patrick Ryan
ATbar,"<h2>ATbar</h2>

<p>ATbar is an Open Source browser toolbar that allows you to change the look and feel of webpages. It is designed for those who may not have their assistive technologies to hand and need a quick way of accessing text on the screen with magnification and/or text to speech etc. It can help those with low vision, dyslexia and other reading difficulties, as well as those who may wish to just reduce the glare of black text on bright white backgrounds. It is not designed for regular screen reader users who need their assistive technology to access the computer as well as their browser.</p>

<h3>How to get it</h3>

<p>Visit the <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/atbar"">ATbar download page</a>.</p>

",1638378121972,atbar,"<h2>ATbar</h2>

<p>ATbar is an Open Source browser toolbar that allows you to change the look and feel of webpages. It is designed for those who may not have their assistive technologies to hand and need a quick way of accessing text on the screen with magnification and/or text to speech etc. It can help those with low vision, dyslexia and other reading difficulties, as well as those who may wish to just reduce the glare of black text on bright white backgrounds. It is not designed for regular screen reader users who need their assistive technology to access the computer as well as their browser.</p>

<h3>How to get it</h3>

<p>Visit the <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/atbar"">ATbar download page</a>.</p>

","ATbar is an Open Source browser toolbar that allows you to change the look and feel of webpages. It is designed for those who may not have their assistive technologies to hand and need a quick way of accessing text on the screen with magnification and/or text to speech etc. It can help those with low vision, dyslexia and other reading difficulties, as well as those who may wish to just reduce the glare of black text on bright white backgrounds. It is not designed for regular screen reader users who need their assistive technology to access the computer as well as their browser.",ATbar,1638378121972,,"Assistive,Free of Charge,MacOS,Staff,Students,Windows",,Patrick Ryan
Azure Dev Tools for Teaching,"<h2>Azure Dev Tools for Teaching</h2>

<p>Microsoft's Azure Dev Tools for Teaching program replaces the Microsoft Imagine offer and provides University students and staff who are <strong>involved in teaching or non-commercial research</strong>, access to professional developer and designer tools at no charge, for educational use*.</p>

<h3>STEM use only</h3>

<p>Only staff/faculty and students from STEM (Science, Technology, Engineering or Mathematics) departments are eligible to download and install software from Azure Dev Tools for Teaching. You must therefore be from one of these <a href=""https://azureforeducation.microsoft.com/en-us/institutions/STEM"" target=""_blank"" rel=""noopener"">departments</a>.</p>

<p>Before downloading, you are <strong>strongly</strong> advised to read the <a href=""https://azureforeducation.microsoft.com/en-us/Institutions/Guidelines"">permitted use cases and terms and conditions</a>.</p>

<h3>What software is available?</h3>

<p>A number of Microsoft applications are available, including Visio, Project and Visual Studio. Please see the <a href=""https://azure.microsoft.com/en-us/education/institutions/dev-tools-for-teaching-faq/"" target=""_blank"" rel=""noopener"">FAQs</a> for a complete list.</p>

<h3>How can I access the software?</h3>

<h4>Managed Machines</h4>

<p>You will NOT be able to install this software on a managed desktop. If you need the software on a managed desktop, please contact the ITS Help Desk.</p>

<h4>Unmanaged Machines</h4>

<ul>
  <li><a href=""https://azureforeducation.microsoft.com/devtools"">Go to the Azure Dev Tools for Teaching website</a>.</li>
  <li>Click Sign In.</li>
  <li>Sign in with your University Microsoft Office 365 email address (in the format <em>usercode</em>@live.warwick.ac.uk) and your normal University password.</li>
  <li>When prompted, select the 'work or school account option'.</li>
  <li>You will then be taken to Warwick's external service sign in page. Sign in with your IT Services username and password.</li>
  <li>You should then be taken to the Azure Dev Tools for Teaching portal. Click the 'Software' tab and you should be shown a list of available software downloads.</li>
</ul>

<p>For more information please see the <a href=""https://warwick.ac.uk/services/its/servicessupport/software/microsoft/imagine"">Azure Dev Tools for Teaching page</a>.</p>

",1638378241951,azure-dev-tools-for-teaching,"<h2>Azure Dev Tools for Teaching</h2>

<p>Microsoft's Azure Dev Tools for Teaching program replaces the Microsoft Imagine offer and provides University students and staff who are <strong>involved in teaching or non-commercial research</strong>, access to professional developer and designer tools at no charge, for educational use*.</p>

<h3>STEM use only</h3>

<p>Only staff/faculty and students from STEM (Science, Technology, Engineering or Mathematics) departments are eligible to download and install software from Azure Dev Tools for Teaching. You must therefore be from one of these <a href=""https://azureforeducation.microsoft.com/en-us/institutions/STEM"" target=""_blank"" rel=""noopener"">departments<i class='new-window-link' title='Link opens in a new window'></i></a>.</p>

<p>Before downloading, you are <strong>strongly</strong> advised to read the <a href=""https://azureforeducation.microsoft.com/en-us/Institutions/Guidelines"">permitted use cases and terms and conditions</a>.</p>

<h3>What software is available?</h3>

<p>A number of Microsoft applications are available, including Visio, Project and Visual Studio. Please see the <a href=""https://azure.microsoft.com/en-us/education/institutions/dev-tools-for-teaching-faq/"" target=""_blank"" rel=""noopener"">FAQs<i class='new-window-link' title='Link opens in a new window'></i></a> for a complete list.</p>

<h3>How can I access the software?</h3>

<h4>Managed Machines</h4>

<p>You will NOT be able to install this software on a managed desktop. If you need the software on a managed desktop, please contact the ITS Help Desk.</p>

<h4>Unmanaged Machines</h4>

<ul>
  <li><a href=""https://azureforeducation.microsoft.com/devtools"">Go to the Azure Dev Tools for Teaching website</a>.</li>
  <li>Click Sign In.</li>
  <li>Sign in with your University Microsoft Office 365 email address (in the format <em>usercode</em>@live.warwick.ac.uk) and your normal University password.</li>
  <li>When prompted, select the 'work or school account option'.</li>
  <li>You will then be taken to Warwick's external service sign in page. Sign in with your IT Services username and password.</li>
  <li>You should then be taken to the Azure Dev Tools for Teaching portal. Click the 'Software' tab and you should be shown a list of available software downloads.</li>
</ul>

<p>For more information please see the <a href=""https://warwick.ac.uk/services/its/servicessupport/software/microsoft/imagine"">Azure Dev Tools for Teaching page</a>.</p>

","Microsoft's Azure Dev Tools for Teaching program replaces the Microsoft Imagine offer and provides University students and staff who are <strong>involved in teaching or non-commercial research</strong>, access to professional developer and designer tools at no charge, for educational use*.",Azure Dev Tools for Teaching,1638378241951,,"Microsoft,Site-wide Licence by a Department,Staff,Students,Windows",,Patrick Ryan
ChemDraw Pro,"<h2>ChemDraw Pro</h2>
<p>ChemDraw Pro is industry standard software, used by scientists worldwide to draw accurate, chemically-aware structures for use in database queries, preparation of publication-quality graphics, and entry for modelling and other programs that require an electronic description of molecules and reactions.</p>
<h2>What does it work on?</h2>
<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>
<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOS</div>
<h2>How to get it</h2>
<p>The site licence provided by the Chemistry Department.</p>
<h5>ITS Managed Machines</h5>
<p>Do not download via this page. Please see information <a href=""https://warwick.ac.uk/services/its/servicessupport/workstationapplcndelivery/managedwindows10desktop/gettingstartedwithmymanagedwindows10desktop/"">here</a>.</p>
<h5>Unmanaged machines</h5>
<p>Anyone with a valid Warwick email address can use the software including Professors, students, laboratory technicians and other associates. The licence allows each person to install it on up to 3 machines. It can be used on University and personally-owned machines, on or off-campus.</p>
<p>Please click one of the links below and follow the instructions to create an account on the publishers' download portal. You must register with your @warwick.ac.uk email address. Once registered you will receive an email with download instructions. Please note that when signing up you will be asked for your address. <strong>You do not need to provide your personal address - please just provide the University's address: University of Warwick, Gibbet Hill Road, Coventry, CV4 7AL.</strong></p>
<div class=""iconBullet""><a href=""https://informatics.perkinelmer.com/sitesubscription/Register.aspx?FlexeraAccountId=5470"">Download ChemDraw Pro 17 - 21.0</a></div>",1646062219911,chemdraw-pro,"<h2>ChemDraw Pro</h2>
<p>ChemDraw Pro is industry standard software, used by scientists worldwide to draw accurate, chemically-aware structures for use in database queries, preparation of publication-quality graphics, and entry for modelling and other programs that require an electronic description of molecules and reactions.</p>
<h2>What does it work on?</h2>
<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>
<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOS</div>
<h2>How to get it</h2>
<p>The site licence provided by the Chemistry Department.</p>
<h5>ITS Managed Machines</h5>
<p>Do not download via this page. Please see information <a href=""https://warwick.ac.uk/services/its/servicessupport/workstationapplcndelivery/managedwindows10desktop/gettingstartedwithmymanagedwindows10desktop/"">here</a>.</p>
<h5>Unmanaged machines</h5>
<p>Anyone with a valid Warwick email address can use the software including Professors, students, laboratory technicians and other associates. The licence allows each person to install it on up to 3 machines. It can be used on University and personally-owned machines, on or off-campus.</p>
<p>Please click one of the links below and follow the instructions to create an account on the publishers' download portal. You must register with your @warwick.ac.uk email address. Once registered you will receive an email with download instructions. Please note that when signing up you will be asked for your address. <strong>You do not need to provide your personal address - please just provide the University's address: University of Warwick, Gibbet Hill Road, Coventry, CV4 7AL.</strong></p>
<div class=""iconBullet""><a href=""https://informatics.perkinelmer.com/sitesubscription/Register.aspx?FlexeraAccountId=5470"">Download ChemDraw Pro 17 - 21.0</a></div>","ChemDraw Pro is industry standard software, used by scientists worldwide to draw accurate, chemically-aware structures for use in database queries, preparation of publication-quality graphics, and entry for modelling and other programs that require an electronic description of molecules and reactions.",ChemDraw Pro,1646062219911,,"MacOS,Sciences & Maths,Site-wide Licence,Staff,Students,Windows",,Patrick Ryan
ColorVeil,"<h2>ColorVeil</h2>

<p>ColorVeil allows you to apply colour filters over your screen to help reduce eye strain, help with dyslexia and visual Stress.</p>

<h3>How to get it</h3>

<p>You can <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/colorveil"">visit the ColorVeil download page.</a></p>

",1638378649753,colorveil,"<h2>ColorVeil</h2>

<p>ColorVeil allows you to apply colour filters over your screen to help reduce eye strain, help with dyslexia and visual Stress.</p>

<h3>How to get it</h3>

<p>You can <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/colorveil"">visit the ColorVeil download page.</a></p>

","ColorVeil allows you to apply colour filters over your screen to help reduce eye strain, help with dyslexia and visual Stress.",ColorVeil,1638378649753,,"Assistive,Free of Charge,Staff,Students",,Patrick Ryan
CrystalMaker,"<h2>CrystalMaker</h2>

<p>Crystal and molecular structures modelling &amp; diffraction software.</p>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOS</div>

<h3>How to get it</h3>

<p>Please see the <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/crystalmaker"">CrystalMaker download page</a> for staff and students.</p>

",1638378886080,crystalmaker,"<h2>CrystalMaker</h2>

<p>Crystal and molecular structures modelling &amp; diffraction software.</p>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOS</div>

<h3>How to get it</h3>

<p>Please see the <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/crystalmaker"">CrystalMaker download page</a> for staff and students.</p>

",Crystal and molecular structures modelling &amp; diffraction software.,CrystalMaker,1638378886080,,"MacOS,Sciences & Maths,Site-wide Licence,Staff,Students,Windows",,Patrick Ryan
Dragon Naturally Speaking,"<h2>Dragon Naturally Speaking</h2>
<p>Although there is no site licence available for the speech-recognition software, Dragon Naturally Speaking, at Warwick, there are some options to access the software:</p>
<h5>Purchase a licence on a departmental cost code via IT Services</h5>
<p>Dragon Naturally Speaking is pre-approved for use at Warwick and so you do not need to complete a software approval form for this. If your department is willing to purchase a licence for you, IDG will order this for you on your cost code. Please log the request with the IT Services <a href=""https://warwick.service-now.com/sp?id=sc_cat_item&amp;sys_id=392882d00a0aa01201634640658beefa"">Help Desk</a>, providing your cost code.</p>
<h5>Dragon in the Library:</h5>
<p>The Library makes Dragon and other assistive software available in their Accessible study rooms. Please click <a href=""https://warwick.ac.uk/services/library/using/accessibility/assistive-software/"">here</a> for details.</p>
<h5>Request a HR referral to Occupational Health:</h5>
<p>In cases where there is an identified long term/permanent disability requiring voice software, the licence might be funded through a central budget subject to an assessment of needs by the Occupational Health team. If you'd like to explore that option, please follow the <a href=""https://warwick.ac.uk/services/healthsafetywellbeing/guidance/occupationalhealth"">Occupational Health Referral process</a> or contact the <a href=""mailto:occupationalhealth@warwick.ac.uk"">Occupational Health Resource</a>&nbsp;<a href=""mailto:occupationalhealth@warwick.ac.uk""><br /></a></p>",1657039350938,dragon-naturally-speaking,"<h2>Dragon Naturally Speaking</h2>
<p>Although there is no site licence available for the speech-recognition software, Dragon Naturally Speaking, at Warwick, there are some options to access the software:</p>
<h5>Purchase a licence on a departmental cost code via IT Services</h5>
<p>Dragon Naturally Speaking is pre-approved for use at Warwick and so you do not need to complete a software approval form for this. If your department is willing to purchase a licence for you, IDG will order this for you on your cost code. Please log the request with the IT Services <a href=""https://warwick.service-now.com/sp?id=sc_cat_item&amp;sys_id=392882d00a0aa01201634640658beefa"">Help Desk</a>, providing your cost code.</p>
<h5>Dragon in the Library:</h5>
<p>The Library makes Dragon and other assistive software available in their Accessible study rooms. Please click <a href=""https://warwick.ac.uk/services/library/using/accessibility/assistive-software/"">here</a> for details.</p>
<h5>Request a HR referral to Occupational Health:</h5>
<p>In cases where there is an identified long term/permanent disability requiring voice software, the licence might be funded through a central budget subject to an assessment of needs by the Occupational Health team. If you'd like to explore that option, please follow the <a href=""https://warwick.ac.uk/services/healthsafetywellbeing/guidance/occupationalhealth"">Occupational Health Referral process</a> or contact the <a href=""mailto:occupationalhealth@warwick.ac.uk"">Occupational Health Resource</a>&nbsp;<a href=""mailto:occupationalhealth@warwick.ac.uk""><br /></a></p>","Although there is no site licence available for the speech-recognition software, Dragon Naturally Speaking, at Warwick, there are some options to access the software:",Dragon Naturally Speaking,1657039350938,,"Assistive,Departments must Purchase Individually,Site-wide Licence,Staff,Students",,Patrick Ryan
Dropbox,"<h2><a id=""dropbox""></a>Dropbox</h2>

<p>The University of Warwick does not support the use of Dropbox. The University has invested in equivalent Microsoft platforms and works closely with its Microsoft partners to ensure the products offer real solutions and remain easy to understand and use.</p>

<p>The Information and Digital Group (IDG) provides a support and training infrastructure for Microsoft OneDrive for Business and associated Microsoft platforms, but there is no support structure for alternative cloud storage platforms, such as Dropbox.</p>

<p>However, there may be some very distinct (non-teaching) situations where you feel OneDrive for Business is not well-suited to your requirements (e.g. for certain external collaboration or research activities, or if you use Linux) and IDG can review the use of Dropbox on a case-by-case basis, via a <a href=""https://warwick.service-now.com/sp?id=sc_cat_item&amp;sys_id=c291e95fdb88a89014eb49ee3b9619ae"">request for an Exception.</a></p>

<p>In order for an Exception request to be considered, you must populate the form with as much information as possible, including why OneDrive for Business is not appropriate for your use or situation.</p>

<p>Exceptions are temporary and as such, will usually cover a specified project or event. Exceptions can also be withdrawn as the University reviews its position on the various tools available in this space.</p>

",1638379105709,dropbox,"<h2><a id=""dropbox""></a>Dropbox</h2>

<p>The University of Warwick does not support the use of Dropbox. The University has invested in equivalent Microsoft platforms and works closely with its Microsoft partners to ensure the products offer real solutions and remain easy to understand and use.</p>

<p>The Information and Digital Group (IDG) provides a support and training infrastructure for Microsoft OneDrive for Business and associated Microsoft platforms, but there is no support structure for alternative cloud storage platforms, such as Dropbox.</p>

<p>However, there may be some very distinct (non-teaching) situations where you feel OneDrive for Business is not well-suited to your requirements (e.g. for certain external collaboration or research activities, or if you use Linux) and IDG can review the use of Dropbox on a case-by-case basis, via a <a href=""https://warwick.service-now.com/sp?id=sc_cat_item&amp;sys_id=c291e95fdb88a89014eb49ee3b9619ae"">request for an Exception.</a></p>

<p>In order for an Exception request to be considered, you must populate the form with as much information as possible, including why OneDrive for Business is not appropriate for your use or situation.</p>

<p>Exceptions are temporary and as such, will usually cover a specified project or event. Exceptions can also be withdrawn as the University reviews its position on the various tools available in this space.</p>

",The University of Warwick does not support the use of Dropbox. The University has invested in equivalent Microsoft platforms and works closely with its Microsoft partners to ensure the products offer real solutions and remain easy to understand and use.,"<a id=""dropbox""></a>Dropbox",1638379105709,,"Cloud storage,Collaborative,Linux,MacOS,Windows",,Patrick Ryan
Ease,"<h2>Ease</h2>

<p>EASE stands for <strong>E</strong>ssential <strong>A</strong>cademic <strong>S</strong>kills in <strong>E</strong>nglish and is a set of online courses in lecture listening skills for students whose first language is not English. There are two courses in the series: 'Listening to Lectures' and 'Seminar Discussions'.</p>

<h2>What does it work on?</h2>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOSX</div>

<div class=""iconBullet""><i class=""fa fa-linux"" aria-hidden=""true"">&nbsp;</i>Linux</div>

<h2>How to get it</h2>

<p>The Centre for Applied Linguistics (CAL) provides the courses and more information, along with <a href=""http://www2.warwick.ac.uk/fac/soc/al/globalpad/openhouse/academicenglishskills/listeningandspeaking"">how to access them.</a></p>

",1638379237684,ease,"<h2>Ease</h2>

<p>EASE stands for <strong>E</strong>ssential <strong>A</strong>cademic <strong>S</strong>kills in <strong>E</strong>nglish and is a set of online courses in lecture listening skills for students whose first language is not English. There are two courses in the series: 'Listening to Lectures' and 'Seminar Discussions'.</p>

<h2>What does it work on?</h2>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOSX</div>

<div class=""iconBullet""><i class=""fa fa-linux"" aria-hidden=""true"">&nbsp;</i>Linux</div>

<h2>How to get it</h2>

<p>The Centre for Applied Linguistics (CAL) provides the courses and more information, along with <a href=""http://www2.warwick.ac.uk/fac/soc/al/globalpad/openhouse/academicenglishskills/listeningandspeaking"">how to access them.</a></p>

",EASE stands for <strong>E</strong>ssential <strong>A</strong>cademic <strong>S</strong>kills in <strong>E</strong>nglish and is a set of online courses in lecture listening skills for students whose first language is not English. There are two courses in the series: 'Listening to Lectures' and 'Seminar Discussions'.,Ease,1638379237684,,"Departments must Purchase Individually,General Academic,Linux,MacOS,Students,Windows",,Patrick Ryan
Echo360 Lecture Capture & Universal Capture,"<h2>Echo360 Lecture Capture &amp; Universal Capture</h2>

<p>The Echo 360 system allows you to create and manage access to teaching materials easily integrating them within Moodle.</p>

<ul>
  <li>Easily manage access to all course recordings via Lecture Capture Block in Moodle</li>
  <li>Automated transcript of all recordings</li>
  <li>A range of active learning features</li>
  <li>Guest lectures can be preserved for future cohorts</li>
</ul>

<h5>Lecture Capture</h5>

<ul>
  <li>Easily schedule recording of in class teaching using timetabled sessions in supported spaces</li>
  <li>Various recording options to suit your teaching style</li>
  <li>Complete control to pause during recording and manage access</li>
</ul>

<h5>Universal Capture (Personal)</h5>

<p>Universal capture offers a way to capture material outside the class.</p>

<ul>
  <li>Download the software to your personal or managed computer</li>
  <li>Record on the go with offline recording</li>
  <li>Uploads to your Echo360 profile so can be easily shared via Moodle</li>
</ul>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true""></i> Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true""></i> macOS</div>

<h3>How to get it</h3>

<div class=""iconBullet"">Please see our <a href=""https://warwick.ac.uk/services/its/servicessupport/academictechnology/extendedclassroom/video"">Academic Technology service pages</a> for full details and guides.</div>

",1638379367852,echo360-lecture-capture-universal-capture,"<h2>Echo360 Lecture Capture &amp; Universal Capture</h2>

<p>The Echo 360 system allows you to create and manage access to teaching materials easily integrating them within Moodle.</p>

<ul>
  <li>Easily manage access to all course recordings via Lecture Capture Block in Moodle</li>
  <li>Automated transcript of all recordings</li>
  <li>A range of active learning features</li>
  <li>Guest lectures can be preserved for future cohorts</li>
</ul>

<h5>Lecture Capture</h5>

<ul>
  <li>Easily schedule recording of in class teaching using timetabled sessions in supported spaces</li>
  <li>Various recording options to suit your teaching style</li>
  <li>Complete control to pause during recording and manage access</li>
</ul>

<h5>Universal Capture (Personal)</h5>

<p>Universal capture offers a way to capture material outside the class.</p>

<ul>
  <li>Download the software to your personal or managed computer</li>
  <li>Record on the go with offline recording</li>
  <li>Uploads to your Echo360 profile so can be easily shared via Moodle</li>
</ul>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true""></i> Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true""></i> macOS</div>

<h3>How to get it</h3>

<div class=""iconBullet"">Please see our <a href=""https://warwick.ac.uk/services/its/servicessupport/academictechnology/extendedclassroom/video"">Academic Technology service pages</a> for full details and guides.</div>

",The Echo 360 system allows you to create and manage access to teaching materials easily integrating them within Moodle.,Echo360 Lecture Capture &amp; Universal Capture,1638379367852,,"MacOS,Microsoft,Screen Capture,Site-wide Licence,Transcription,Video Editing,Video Hosting",,Patrick Ryan
EndNote,"<h2>EndNote</h2>
<h2>What is it?</h2>
<p>Desktop reference-management software that you can use with Microsoft Word.</p>
<h2>What does it work on?</h2>
<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true""></i>Windows</div>
<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true""></i>macOS</div>
<h2>How to get it</h2>
<p>Please visit the <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/endnote"">EndNote information page</a> for details.</p>",1660659993233,endnote,"<h2>EndNote</h2>
<h2>What is it?</h2>
<p>Desktop reference-management software that you can use with Microsoft Word.</p>
<h2>What does it work on?</h2>
<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true""></i>Windows</div>
<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true""></i>macOS</div>
<h2>How to get it</h2>
<p>Please visit the <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/endnote"">EndNote information page</a> for details.</p>",Desktop reference-management software that you can use with Microsoft Word.,EndNote,1660659993233,,"General Academic,MacOS,Microsoft,Site-wide Licence,Staff,Students,Citation,Reference Management",,Patrick Ryan
EndNote Online,"<h2>EndNote Online</h2>

<p>EndNote Online is the web-based version of EndNote for managing references. Warwick users can <a href=""http://www.webofknowledge.com/?auth=ShibbolethIdPForm&amp;entityID=https%3A%2F%2Fidp.warwick.ac.uk%2Fidp%2Fshibboleth&amp;target=https%253A%252F%252Fwww.webofknowledge.com%252F%253Fproduct%253DENW%2526enwreturnurl%253Dhttps%25253A%25252F%25252Fwww.myEndNoteweb.com%25252FEndNoteWeb.html&amp;ShibFederation=ukFederation&amp;product=ENW&amp;enwreturnurl=%20https%3A%2F%2Fwww.myendnoteweb.com%2FEndNoteWeb.html"">access EndNote Online from this link</a>.</p>

<p><a href=""https://warwick.ac.uk/services/library/students/endnote"">See more information about EndNote Online.</a></p>

",1592820077106,endnote-online,"<h2>EndNote Online</h2>

<p>EndNote Online is the web-based version of EndNote for managing references. Warwick users can <a href=""http://www.webofknowledge.com/?auth=ShibbolethIdPForm&amp;entityID=https%3A%2F%2Fidp.warwick.ac.uk%2Fidp%2Fshibboleth&amp;target=https%253A%252F%252Fwww.webofknowledge.com%252F%253Fproduct%253DENW%2526enwreturnurl%253Dhttps%25253A%25252F%25252Fwww.myEndNoteweb.com%25252FEndNoteWeb.html&amp;ShibFederation=ukFederation&amp;product=ENW&amp;enwreturnurl=%20https%3A%2F%2Fwww.myendnoteweb.com%2FEndNoteWeb.html"">access EndNote Online from this link</a>.</p>

<p><a href=""https://warwick.ac.uk/services/library/students/endnote"">See more information about EndNote Online.</a></p>

","EndNote Online is the web-based version of EndNote for managing references. Warwick users can <a href=""http://www.webofknowledge.com/?auth=ShibbolethIdPForm&amp;entityID=https%3A%2F%2Fidp.warwick.ac.uk%2Fidp%2Fshibboleth&amp;target=https%253A%252F%252Fwww.webofknowledge.com%252F%253Fproduct%253DENW%2526enwreturnurl%253Dhttps%25253A%25252F%25252Fwww.myEndNoteweb.com%25252FEndNoteWeb.html&amp;ShibFederation=ukFederation&amp;product=ENW&amp;enwreturnurl=%20https%3A%2F%2Fwww.myendnoteweb.com%2FEndNoteWeb.html"">access EndNote Online from this link</a>.",EndNote Online,1592820077106,,"Students,General Academic,Site-wide Licence,Staff,Linux,Windows,MacOS",https://warwick.ac.uk/services/its/servicessupport/software/list/summaries/?selectedLetter=E#endnote-online,Patrick Ryan
Gale Digital Scholar Lab at Warwick ,"<h3>Gale Digital Scholar Lab at Warwick</h3>

<p>Gale Digital Scholar Lab at Warwick is a single cloud-based research and learning platform that provides an environment to apply natural language processing (NLP) techniques to raw optical character recognition (OCR) text data from Gale’s primary data sources or own data. The platform has been designed for researchers, students, teachers, librarians, and digital humanists interested in text mining as well as archival research and analysis methods. <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/galedigitalscholarlab/"">Find out more about Gale Digital Scholar Lab</a></p>

<h3>How does it work?</h3>

<p>Accessed via web browser. The platform is currently optimized for Firefox, Chrome, and Safari browsers.</p>

<h3>How to get it</h3>

<p>Visit the resource on the Library Databases pages <a href=""https://encore.lib.warwick.ac.uk/iii/encore/record/C__Re1001459"">here</a>.</p>

",1636495787954,gale-digital-scholar-lab-at-warwick-,"<h3>Gale Digital Scholar Lab at Warwick</h3>

<p>Gale Digital Scholar Lab at Warwick is a single cloud-based research and learning platform that provides an environment to apply natural language processing (NLP) techniques to raw optical character recognition (OCR) text data from Gale’s primary data sources or own data. The platform has been designed for researchers, students, teachers, librarians, and digital humanists interested in text mining as well as archival research and analysis methods. <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/galedigitalscholarlab/"">Find out more about Gale Digital Scholar Lab</a></p>

<h3>How does it work?</h3>

<p>Accessed via web browser. The platform is currently optimized for Firefox, Chrome, and Safari browsers.</p>

<h3>How to get it</h3>

<p>Visit the resource on the Library Databases pages <a href=""https://encore.lib.warwick.ac.uk/iii/encore/record/C__Re1001459"">here</a>.</p>

","Gale Digital Scholar Lab at Warwick is a single cloud-based research and learning platform that provides an environment to apply natural language processing (NLP) techniques to raw optical character recognition (OCR) text data from Gale’s primary data sources or own data. The platform has been designed for researchers, students, teachers, librarians, and digital humanists interested in text mining as well as archival research and analysis methods. <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/galedigitalscholarlab/"">Find out more about Gale Digital Scholar Lab</a>",,1636495787954,,"Free of Charge,Linux,MacOS,Site-wide Licence,Staff,Statistics & Analysis,Students,Windows",,Patrick Ryan
